;cep;bairro
7696;91790-470;Restinga
7697;91350-090;Passo da Areia
7698;90690-270;Jardim Botânico
7699;91787-365;Belém Velho
7700;91780-350;Belém Novo
7701;91130-690;Sarandi
7702;91050-350;Jardim Lindóia
7703;91450-157;Jardim Carvalho
7704;91787-778;Hípica
7705;91760-680;Ipanema
7706;91755-320;Aberta dos Morros
7707;91110-400;Sarandi
7708;91120-290;Sarandi
7709;91120-640;Sarandi
7710;91740-800;Vila Nova
7711;91060-170;São Sebastião
7712;91751-210;Ipanema
7713;91787-822;Hípica
7714;91170-430;Santa Rosa de Lima
7715;91180-041;Rubem Berta
7716;91750-740;Vila Nova
7717;91751-370;Cavalhada
7718;91755-054;Hípica
7719;90450-220;Mont Serrat
7720;91280-223;Mário Quintana
7721;91790-470;Restinga
7722;91350-090;Passo da Areia
7723;90690-270;Jardim Botânico
7724;91787-365;Belém Velho
7725;91780-350;Belém Novo
7726;91130-690;Sarandi
7727;91050-350;Jardim Lindóia
7728;91450-157;Jardim Carvalho
7729;91787-778;Hípica
7730;91760-680;Ipanema
7731;91755-320;Aberta dos Morros
7732;91110-400;Sarandi
7733;91120-290;Sarandi
7734;91120-640;Sarandi
7735;91740-800;Vila Nova
7736;91060-170;São Sebastião
7737;91751-210;Ipanema
7738;91787-822;Hípica
7739;91170-430;Santa Rosa de Lima
7740;91180-041;Rubem Berta
7741;91750-740;Vila Nova
7742;91751-370;Cavalhada
7743;91755-054;Hípica
7744;90450-220;Mont Serrat
7745;91280-223;Mário Quintana
7746;91790-470;Restinga
7747;91350-090;Passo da Areia
7748;90690-270;Jardim Botânico
7749;91787-365;Belém Velho
7750;91780-350;Belém Novo
7751;91130-690;Sarandi
7752;91050-350;Jardim Lindóia
7753;91450-157;Jardim Carvalho
7754;91787-778;Hípica
7755;91760-680;Ipanema
7756;91755-320;Aberta dos Morros
7757;91110-400;Sarandi
7758;91120-290;Sarandi
7759;91120-640;Sarandi
7760;91740-800;Vila Nova
7761;91060-170;São Sebastião
7762;91751-210;Ipanema
7763;91787-822;Hípica
7764;91170-430;Santa Rosa de Lima
7765;91180-041;Rubem Berta
7766;91750-740;Vila Nova
7767;91751-370;Cavalhada
7768;91755-054;Hípica
7769;90450-220;Mont Serrat
7770;91280-223;Mário Quintana
7771;91790-470;Restinga
7772;91350-090;Passo da Areia
7773;90690-270;Jardim Botânico
7774;91787-365;Belém Velho
7775;91780-350;Belém Novo
7776;91130-690;Sarandi
7777;91050-350;Jardim Lindóia
7778;91450-157;Jardim Carvalho
7779;91787-778;Hípica
7780;91760-680;Ipanema
7781;91755-320;Aberta dos Morros
7782;91110-400;Sarandi
7783;91120-290;Sarandi
7784;91120-640;Sarandi
7785;91740-800;Vila Nova
7786;91060-170;São Sebastião
7787;91751-210;Ipanema
7788;91787-822;Hípica
7789;91170-430;Santa Rosa de Lima
7790;91180-041;Rubem Berta
7791;91750-740;Vila Nova
7792;91751-370;Cavalhada
7793;91755-054;Hípica
7794;90450-220;Mont Serrat
7795;91280-223;Mário Quintana
7796;91790-470;Restinga
7797;91350-090;Passo da Areia
7798;90690-270;Jardim Botânico
7799;91787-365;Belém Velho
7800;91780-350;Belém Novo
7801;91130-690;Sarandi
7802;91050-350;Jardim Lindóia
7803;91450-157;Jardim Carvalho
7804;91787-778;Hípica
7805;91760-680;Ipanema
7806;91755-320;Aberta dos Morros
7807;91110-400;Sarandi
7808;91120-290;Sarandi
7809;91120-640;Sarandi
7810;91740-800;Vila Nova
7811;91060-170;São Sebastião
7812;91751-210;Ipanema
7813;91787-822;Hípica
7814;91170-430;Santa Rosa de Lima
7815;91180-041;Rubem Berta
7816;91750-740;Vila Nova
7817;91751-370;Cavalhada
7818;91755-054;Hípica
7819;90450-220;Mont Serrat
7820;91280-223;Mário Quintana
7821;91790-470;Restinga
7822;91350-090;Passo da Areia
7823;90690-270;Jardim Botânico
7824;91787-365;Belém Velho
7825;91780-350;Belém Novo
7826;91130-690;Sarandi
7827;91050-350;Jardim Lindóia
7828;91450-157;Jardim Carvalho
7829;91787-778;Hípica
7830;91760-680;Ipanema
7831;91755-320;Aberta dos Morros
7832;91110-400;Sarandi
7833;91120-290;Sarandi
7834;91120-640;Sarandi
7835;91740-800;Vila Nova
7836;91060-170;São Sebastião
7837;91751-210;Ipanema
7838;91787-822;Hípica
7839;91170-430;Santa Rosa de Lima
7840;91180-041;Rubem Berta
7841;91750-740;Vila Nova
7842;91751-370;Cavalhada
7843;91755-054;Hípica
7844;90450-220;Mont Serrat
7845;91280-223;Mário Quintana
7846;91790-470;Restinga
7847;91350-090;Passo da Areia
7848;90690-270;Jardim Botânico
7849;91787-365;Belém Velho
7850;91780-350;Belém Novo
7851;91130-690;Sarandi
7852;91050-350;Jardim Lindóia
7853;91450-157;Jardim Carvalho
7854;91787-778;Hípica
7855;91760-680;Ipanema
7856;91755-320;Aberta dos Morros
7857;91110-400;Sarandi
7858;91120-290;Sarandi
7859;91120-640;Sarandi
7860;91740-800;Vila Nova
7861;91060-170;São Sebastião
7862;91751-210;Ipanema
7863;91787-822;Hípica
7864;91170-430;Santa Rosa de Lima
7865;91180-041;Rubem Berta
7866;91750-740;Vila Nova
7867;91751-370;Cavalhada
7868;91755-054;Hípica
7869;90450-220;Mont Serrat
7870;91280-223;Mário Quintana
7871;91790-470;Restinga
7872;91350-090;Passo da Areia
7873;90690-270;Jardim Botânico
7874;91787-365;Belém Velho
7875;91780-350;Belém Novo
7876;91130-690;Sarandi
7877;91050-350;Jardim Lindóia
7878;91450-157;Jardim Carvalho
7879;91787-778;Hípica
7880;91760-680;Ipanema
7881;91755-320;Aberta dos Morros
7882;91110-400;Sarandi
7883;91120-290;Sarandi
7884;91120-640;Sarandi
7885;91740-800;Vila Nova
7886;91060-170;São Sebastião
7887;91751-210;Ipanema
7888;91787-822;Hípica
7889;91170-430;Santa Rosa de Lima
7890;91180-041;Rubem Berta
7891;91750-740;Vila Nova
7892;91751-370;Cavalhada
7893;91755-054;Hípica
7894;90450-220;Mont Serrat
7895;91280-223;Mário Quintana
7896;91790-470;Restinga
7897;91350-090;Passo da Areia
7898;90690-270;Jardim Botânico
7899;91787-365;Belém Velho
7900;91780-350;Belém Novo
7901;91130-690;Sarandi
7902;91050-350;Jardim Lindóia
7903;91450-157;Jardim Carvalho
7904;91787-778;Hípica
7905;91760-680;Ipanema
7906;91755-320;Aberta dos Morros
7907;91110-400;Sarandi
7908;91120-290;Sarandi
7909;91120-640;Sarandi
7910;91740-800;Vila Nova
7911;91060-170;São Sebastião
7912;91751-210;Ipanema
7913;91787-822;Hípica
7914;91170-430;Santa Rosa de Lima
7915;91180-041;Rubem Berta
7916;91750-740;Vila Nova
7917;91751-370;Cavalhada
7918;91755-054;Hípica
7919;90450-220;Mont Serrat
7920;91280-223;Mário Quintana
7921;91790-470;Restinga
7922;91350-090;Passo da Areia
7923;90690-270;Jardim Botânico
7924;91787-365;Belém Velho
7925;91780-350;Belém Novo
7926;91130-690;Sarandi
7927;91050-350;Jardim Lindóia
7928;91450-157;Jardim Carvalho
7929;91787-778;Hípica
7930;91760-680;Ipanema
7931;91755-320;Aberta dos Morros
7932;91110-400;Sarandi
7933;91120-290;Sarandi
7934;91120-640;Sarandi
7935;91740-800;Vila Nova
7936;91060-170;São Sebastião
7937;91751-210;Ipanema
7938;91787-822;Hípica
7939;91170-430;Santa Rosa de Lima
7940;91180-041;Rubem Berta
7941;91750-740;Vila Nova
7942;91751-370;Cavalhada
7943;91755-054;Hípica
7944;90450-220;Mont Serrat
7945;91280-223;Mário Quintana
7946;91790-470;Restinga
7947;91350-090;Passo da Areia
7948;90690-270;Jardim Botânico
7949;91787-365;Belém Velho
7950;91780-350;Belém Novo
7951;91130-690;Sarandi
7952;91050-350;Jardim Lindóia
7953;91450-157;Jardim Carvalho
7954;91787-778;Hípica
7955;91760-680;Ipanema
7956;91755-320;Aberta dos Morros
7957;91110-400;Sarandi
7958;91120-290;Sarandi
7959;91120-640;Sarandi
7960;91740-800;Vila Nova
7961;91060-170;São Sebastião
7962;91751-210;Ipanema
7963;91787-822;Hípica
7964;91170-430;Santa Rosa de Lima
7965;91180-041;Rubem Berta
7966;91750-740;Vila Nova
7967;91751-370;Cavalhada
7968;91755-054;Hípica
7969;90450-220;Mont Serrat
7970;91280-223;Mário Quintana
7971;91790-470;Restinga
7972;91350-090;Passo da Areia
7973;90690-270;Jardim Botânico
7974;91787-365;Belém Velho
7975;91780-350;Belém Novo
7976;91130-690;Sarandi
7977;91050-350;Jardim Lindóia
7978;91450-157;Jardim Carvalho
7979;91787-778;Hípica
7980;91760-680;Ipanema
7981;91755-320;Aberta dos Morros
7982;91110-400;Sarandi
7983;91120-290;Sarandi
7984;91120-640;Sarandi
7985;91740-800;Vila Nova
7986;91060-170;São Sebastião
7987;91751-210;Ipanema
7988;91787-822;Hípica
7989;91170-430;Santa Rosa de Lima
7990;91180-041;Rubem Berta
7991;91750-740;Vila Nova
7992;91751-370;Cavalhada
7993;91755-054;Hípica
7994;90450-220;Mont Serrat
7995;91280-223;Mário Quintana
7996;91790-470;Restinga
7997;91350-090;Passo da Areia
7998;90690-270;Jardim Botânico
7999;91787-365;Belém Velho
8000;91780-350;Belém Novo
8001;91130-690;Sarandi
8002;91050-350;Jardim Lindóia
8003;91450-157;Jardim Carvalho
8004;91787-778;Hípica
8005;91760-680;Ipanema
8006;91755-320;Aberta dos Morros
8007;91110-400;Sarandi
8008;91120-290;Sarandi
8009;91120-640;Sarandi
8010;91740-800;Vila Nova
8011;91060-170;São Sebastião
8012;91751-210;Ipanema
8013;91787-822;Hípica
8014;91170-430;Santa Rosa de Lima
8015;91180-041;Rubem Berta
8016;91750-740;Vila Nova
8017;91751-370;Cavalhada
8018;91755-054;Hípica
8019;90450-220;Mont Serrat
8020;91280-223;Mário Quintana
8021;91790-470;Restinga
8022;91350-090;Passo da Areia
8023;90690-270;Jardim Botânico
8024;91787-365;Belém Velho
8025;91780-350;Belém Novo
8026;91130-690;Sarandi
8027;91050-350;Jardim Lindóia
8028;91450-157;Jardim Carvalho
8029;91787-778;Hípica
8030;91760-680;Ipanema
8031;91755-320;Aberta dos Morros
8032;91110-400;Sarandi
8033;91120-290;Sarandi
8034;91120-640;Sarandi
8035;91740-800;Vila Nova
8036;91060-170;São Sebastião
8037;91751-210;Ipanema
8038;91787-822;Hípica
8039;91170-430;Santa Rosa de Lima
8040;91180-041;Rubem Berta
8041;91750-740;Vila Nova
8042;91751-370;Cavalhada
8043;91755-054;Hípica
8044;90450-220;Mont Serrat
8045;91280-223;Mário Quintana
8046;91790-470;Restinga
8047;91350-090;Passo da Areia
8048;90690-270;Jardim Botânico
8049;91787-365;Belém Velho
8050;91780-350;Belém Novo
8051;91130-690;Sarandi
8052;91050-350;Jardim Lindóia
8053;91450-157;Jardim Carvalho
8054;91787-778;Hípica
8055;91760-680;Ipanema
8056;91755-320;Aberta dos Morros
8057;91110-400;Sarandi
8058;91120-290;Sarandi
8059;91120-640;Sarandi
8060;91740-800;Vila Nova
8061;91060-170;São Sebastião
8062;91751-210;Ipanema
8063;91787-822;Hípica
8064;91170-430;Santa Rosa de Lima
8065;91180-041;Rubem Berta
8066;91750-740;Vila Nova
8067;91751-370;Cavalhada
8068;91755-054;Hípica
8069;90450-220;Mont Serrat
8070;91280-223;Mário Quintana
8071;91790-470;Restinga
8072;91350-090;Passo da Areia
8073;90690-270;Jardim Botânico
8074;91787-365;Belém Velho
8075;91780-350;Belém Novo
8076;91130-690;Sarandi
8077;91050-350;Jardim Lindóia
8078;91450-157;Jardim Carvalho
8079;91787-778;Hípica
8080;91760-680;Ipanema
8081;91755-320;Aberta dos Morros
8082;91110-400;Sarandi
8083;91120-290;Sarandi
8084;91120-640;Sarandi
8085;91740-800;Vila Nova
8086;91060-170;São Sebastião
8087;91751-210;Ipanema
8088;91787-822;Hípica
8089;91170-430;Santa Rosa de Lima
8090;91180-041;Rubem Berta
8091;91750-740;Vila Nova
8092;91751-370;Cavalhada
8093;91755-054;Hípica
8094;90450-220;Mont Serrat
8095;91280-223;Mário Quintana
8096;91790-470;Restinga
8097;91350-090;Passo da Areia
8098;90690-270;Jardim Botânico
8099;91787-365;Belém Velho
8100;91780-350;Belém Novo
8101;91130-690;Sarandi
8102;91050-350;Jardim Lindóia
8103;91450-157;Jardim Carvalho
8104;91787-778;Hípica
8105;91760-680;Ipanema
8106;91755-320;Aberta dos Morros
8107;91110-400;Sarandi
8108;91120-290;Sarandi
8109;91120-640;Sarandi
8110;91740-800;Vila Nova
8111;91060-170;São Sebastião
8112;91751-210;Ipanema
8113;91787-822;Hípica
8114;91170-430;Santa Rosa de Lima
8115;91180-041;Rubem Berta
8116;91750-740;Vila Nova
8117;91751-370;Cavalhada
8118;91755-054;Hípica
8119;90450-220;Mont Serrat
8120;91280-223;Mário Quintana
8121;91790-470;Restinga
8122;91350-090;Passo da Areia
8123;90690-270;Jardim Botânico
8124;91787-365;Belém Velho
8125;91780-350;Belém Novo
8126;91130-690;Sarandi
8127;91050-350;Jardim Lindóia
8128;91450-157;Jardim Carvalho
8129;91787-778;Hípica
8130;91760-680;Ipanema
8131;91755-320;Aberta dos Morros
8132;91110-400;Sarandi
8133;91120-290;Sarandi
8134;91120-640;Sarandi
8135;91740-800;Vila Nova
8136;91060-170;São Sebastião
8137;91751-210;Ipanema
8138;91787-822;Hípica
8139;91170-430;Santa Rosa de Lima
8140;91180-041;Rubem Berta
8141;91750-740;Vila Nova
8142;91751-370;Cavalhada
8143;91755-054;Hípica
8144;90450-220;Mont Serrat
8145;91280-223;Mário Quintana
8146;91790-470;Restinga
8147;91350-090;Passo da Areia
8148;90690-270;Jardim Botânico
8149;91787-365;Belém Velho
8150;91780-350;Belém Novo
8151;91130-690;Sarandi
8152;91050-350;Jardim Lindóia
8153;91450-157;Jardim Carvalho
8154;91787-778;Hípica
8155;91760-680;Ipanema
8156;91755-320;Aberta dos Morros
8157;91110-400;Sarandi
8158;91120-290;Sarandi
8159;91120-640;Sarandi
8160;91740-800;Vila Nova
8161;91060-170;São Sebastião
8162;91751-210;Ipanema
8163;91787-822;Hípica
8164;91170-430;Santa Rosa de Lima
8165;91180-041;Rubem Berta
8166;91750-740;Vila Nova
8167;91751-370;Cavalhada
8168;91755-054;Hípica
8169;90450-220;Mont Serrat
8170;91280-223;Mário Quintana
8171;91790-470;Restinga
8172;91350-090;Passo da Areia
8173;90690-270;Jardim Botânico
8174;91787-365;Belém Velho
8175;91780-350;Belém Novo
8176;91130-690;Sarandi
8177;91050-350;Jardim Lindóia
8178;91450-157;Jardim Carvalho
8179;91787-778;Hípica
8180;91760-680;Ipanema
8181;91755-320;Aberta dos Morros
8182;91110-400;Sarandi
8183;91120-290;Sarandi
8184;91120-640;Sarandi
8185;91740-800;Vila Nova
8186;91060-170;São Sebastião
8187;91751-210;Ipanema
8188;91787-822;Hípica
8189;91170-430;Santa Rosa de Lima
8190;91180-041;Rubem Berta
8191;91750-740;Vila Nova
8192;91751-370;Cavalhada
8193;91755-054;Hípica
8194;90450-220;Mont Serrat
8195;91280-223;Mário Quintana
8196;91790-470;Restinga
8197;91350-090;Passo da Areia
8198;90690-270;Jardim Botânico
8199;91787-365;Belém Velho
8200;91780-350;Belém Novo
8201;91130-690;Sarandi
8202;91050-350;Jardim Lindóia
8203;91450-157;Jardim Carvalho
8204;91787-778;Hípica
8205;91760-680;Ipanema
8206;91755-320;Aberta dos Morros
8207;91110-400;Sarandi
8208;91120-290;Sarandi
8209;91120-640;Sarandi
8210;91740-800;Vila Nova
8211;91060-170;São Sebastião
8212;91751-210;Ipanema
8213;91787-822;Hípica
8214;91170-430;Santa Rosa de Lima
8215;91180-041;Rubem Berta
8216;91750-740;Vila Nova
8217;91751-370;Cavalhada
8218;91755-054;Hípica
8219;90450-220;Mont Serrat
8220;91280-223;Mário Quintana
8221;91790-470;Restinga
8222;91350-090;Passo da Areia
8223;90690-270;Jardim Botânico
8224;91787-365;Belém Velho
8225;91780-350;Belém Novo
8226;91130-690;Sarandi
8227;91050-350;Jardim Lindóia
8228;91450-157;Jardim Carvalho
8229;91787-778;Hípica
8230;91760-680;Ipanema
8231;91755-320;Aberta dos Morros
8232;91110-400;Sarandi
8233;91120-290;Sarandi
8234;91120-640;Sarandi
8235;91740-800;Vila Nova
8236;91060-170;São Sebastião
8237;91751-210;Ipanema
8238;91787-822;Hípica
8239;91170-430;Santa Rosa de Lima
8240;91180-041;Rubem Berta
8241;91750-740;Vila Nova
8242;91751-370;Cavalhada
8243;91755-054;Hípica
8244;90450-220;Mont Serrat
8245;91280-223;Mário Quintana
8246;91790-470;Restinga
8247;91350-090;Passo da Areia
8248;90690-270;Jardim Botânico
8249;91787-365;Belém Velho
8250;91780-350;Belém Novo
8251;91130-690;Sarandi
8252;91050-350;Jardim Lindóia
8253;91450-157;Jardim Carvalho
8254;91787-778;Hípica
8255;91760-680;Ipanema
8256;91755-320;Aberta dos Morros
8257;91110-400;Sarandi
8258;91120-290;Sarandi
8259;91120-640;Sarandi
8260;91740-800;Vila Nova
8261;91060-170;São Sebastião
8262;91751-210;Ipanema
8263;91787-822;Hípica
8264;91170-430;Santa Rosa de Lima
8265;91180-041;Rubem Berta
8266;91750-740;Vila Nova
8267;91751-370;Cavalhada
8268;91755-054;Hípica
8269;90450-220;Mont Serrat
8270;91280-223;Mário Quintana
8271;91790-470;Restinga
8272;91350-090;Passo da Areia
8273;90690-270;Jardim Botânico
8274;91787-365;Belém Velho
8275;91780-350;Belém Novo
8276;91130-690;Sarandi
8277;91050-350;Jardim Lindóia
8278;91450-157;Jardim Carvalho
8279;91787-778;Hípica
8280;91760-680;Ipanema
8281;91755-320;Aberta dos Morros
8282;91110-400;Sarandi
8283;91120-290;Sarandi
8284;91120-640;Sarandi
8285;91740-800;Vila Nova
8286;91060-170;São Sebastião
8287;91751-210;Ipanema
8288;91787-822;Hípica
8289;91170-430;Santa Rosa de Lima
8290;91180-041;Rubem Berta
8291;91750-740;Vila Nova
8292;91751-370;Cavalhada
8293;91755-054;Hípica
8294;90450-220;Mont Serrat
8295;91280-223;Mário Quintana
8296;91790-470;Restinga
8297;91350-090;Passo da Areia
8298;90690-270;Jardim Botânico
8299;91787-365;Belém Velho
8300;91780-350;Belém Novo
8301;91130-690;Sarandi
8302;91050-350;Jardim Lindóia
8303;91450-157;Jardim Carvalho
8304;91787-778;Hípica
8305;91760-680;Ipanema
8306;91755-320;Aberta dos Morros
8307;91110-400;Sarandi
8308;91120-290;Sarandi
8309;91120-640;Sarandi
8310;91740-800;Vila Nova
8311;91060-170;São Sebastião
8312;91751-210;Ipanema
8313;91787-822;Hípica
8314;91170-430;Santa Rosa de Lima
8315;91180-041;Rubem Berta
8316;91750-740;Vila Nova
8317;91751-370;Cavalhada
8318;91755-054;Hípica
8319;90450-220;Mont Serrat
8320;91280-223;Mário Quintana
8321;91790-470;Restinga
8322;91350-090;Passo da Areia
8323;90690-270;Jardim Botânico
8324;91787-365;Belém Velho
8325;91780-350;Belém Novo
8326;91130-690;Sarandi
8327;91050-350;Jardim Lindóia
8328;91450-157;Jardim Carvalho
8329;91787-778;Hípica
8330;91760-680;Ipanema
8331;91755-320;Aberta dos Morros
8332;91110-400;Sarandi
8333;91120-290;Sarandi
8334;91120-640;Sarandi
8335;91740-800;Vila Nova
8336;91060-170;São Sebastião
8337;91751-210;Ipanema
8338;91787-822;Hípica
8339;91170-430;Santa Rosa de Lima
8340;91180-041;Rubem Berta
8341;91750-740;Vila Nova
8342;91751-370;Cavalhada
8343;91755-054;Hípica
8344;90450-220;Mont Serrat
8345;91280-223;Mário Quintana
8346;91790-470;Restinga
8347;91350-090;Passo da Areia
8348;90690-270;Jardim Botânico
8349;91787-365;Belém Velho
8350;91780-350;Belém Novo
8351;91130-690;Sarandi
8352;91050-350;Jardim Lindóia
8353;91450-157;Jardim Carvalho
8354;91787-778;Hípica
8355;91760-680;Ipanema
8356;91755-320;Aberta dos Morros
8357;91110-400;Sarandi
8358;91120-290;Sarandi
8359;91120-640;Sarandi
8360;91740-800;Vila Nova
8361;91060-170;São Sebastião
8362;91751-210;Ipanema
8363;91787-822;Hípica
8364;91170-430;Santa Rosa de Lima
8365;91180-041;Rubem Berta
8366;91750-740;Vila Nova
8367;91751-370;Cavalhada
8368;91755-054;Hípica
8369;90450-220;Mont Serrat
8370;91280-223;Mário Quintana
8371;91790-470;Restinga
8372;91350-090;Passo da Areia
8373;90690-270;Jardim Botânico
8374;91787-365;Belém Velho
8375;91780-350;Belém Novo
8376;91130-690;Sarandi
8377;91050-350;Jardim Lindóia
8378;91450-157;Jardim Carvalho
8379;91787-778;Hípica
8380;91760-680;Ipanema
8381;91755-320;Aberta dos Morros
8382;91110-400;Sarandi
8383;91120-290;Sarandi
8384;91120-640;Sarandi
8385;91740-800;Vila Nova
8386;91060-170;São Sebastião
8387;91751-210;Ipanema
8388;91787-822;Hípica
8389;91170-430;Santa Rosa de Lima
8390;91180-041;Rubem Berta
8391;91750-740;Vila Nova
8392;91751-370;Cavalhada
8393;91755-054;Hípica
8394;90450-220;Mont Serrat
8395;91280-223;Mário Quintana
8396;91790-470;Restinga
8397;91350-090;Passo da Areia
8398;90690-270;Jardim Botânico
8399;91787-365;Belém Velho
8400;91780-350;Belém Novo
8401;91130-690;Sarandi
8402;91050-350;Jardim Lindóia
8403;91450-157;Jardim Carvalho
8404;91787-778;Hípica
8405;91760-680;Ipanema
8406;91755-320;Aberta dos Morros
8407;91110-400;Sarandi
8408;91120-290;Sarandi
8409;91120-640;Sarandi
8410;91740-800;Vila Nova
8411;91060-170;São Sebastião
8412;91751-210;Ipanema
8413;91787-822;Hípica
8414;91170-430;Santa Rosa de Lima
8415;91180-041;Rubem Berta
8416;91750-740;Vila Nova
8417;91751-370;Cavalhada
8418;91755-054;Hípica
8419;90450-220;Mont Serrat
8420;91280-223;Mário Quintana
8421;91790-470;Restinga
8422;91350-090;Passo da Areia
8423;90690-270;Jardim Botânico
8424;91787-365;Belém Velho
8425;91780-350;Belém Novo
8426;91130-690;Sarandi
8427;91050-350;Jardim Lindóia
8428;91450-157;Jardim Carvalho
8429;91787-778;Hípica
8430;91760-680;Ipanema
8431;91755-320;Aberta dos Morros
8432;91110-400;Sarandi
8433;91120-290;Sarandi
8434;91120-640;Sarandi
8435;91740-800;Vila Nova
8436;91060-170;São Sebastião
8437;91751-210;Ipanema
8438;91787-822;Hípica
8439;91170-430;Santa Rosa de Lima
8440;91180-041;Rubem Berta
8441;91750-740;Vila Nova
8442;91751-370;Cavalhada
8443;91755-054;Hípica
8444;90450-220;Mont Serrat
8445;91280-223;Mário Quintana
8446;91790-470;Restinga
8447;91350-090;Passo da Areia
8448;90690-270;Jardim Botânico
8449;91787-365;Belém Velho
8450;91780-350;Belém Novo
8451;91130-690;Sarandi
8452;91050-350;Jardim Lindóia
8453;91450-157;Jardim Carvalho
8454;91787-778;Hípica
8455;91760-680;Ipanema
8456;91755-320;Aberta dos Morros
8457;91110-400;Sarandi
8458;91120-290;Sarandi
8459;91120-640;Sarandi
8460;91740-800;Vila Nova
8461;91060-170;São Sebastião
8462;91751-210;Ipanema
8463;91787-822;Hípica
8464;91170-430;Santa Rosa de Lima
8465;91180-041;Rubem Berta
8466;91750-740;Vila Nova
8467;91751-370;Cavalhada
8468;91755-054;Hípica
8469;90450-220;Mont Serrat
8470;91280-223;Mário Quintana
8471;91790-470;Restinga
8472;91350-090;Passo da Areia
8473;90690-270;Jardim Botânico
8474;91787-365;Belém Velho
8475;91780-350;Belém Novo
8476;91130-690;Sarandi
8477;91050-350;Jardim Lindóia
8478;91450-157;Jardim Carvalho
8479;91787-778;Hípica
8480;91760-680;Ipanema
8481;91755-320;Aberta dos Morros
8482;91110-400;Sarandi
8483;91120-290;Sarandi
8484;91120-640;Sarandi
8485;91740-800;Vila Nova
8486;91060-170;São Sebastião
8487;91751-210;Ipanema
8488;91787-822;Hípica
8489;91170-430;Santa Rosa de Lima
8490;91180-041;Rubem Berta
8491;91750-740;Vila Nova
8492;91751-370;Cavalhada
8493;91755-054;Hípica
8494;90450-220;Mont Serrat
8495;91280-223;Mário Quintana
8496;91790-470;Restinga
8497;91350-090;Passo da Areia
8498;90690-270;Jardim Botânico
8499;91787-365;Belém Velho
8500;91780-350;Belém Novo
8501;91130-690;Sarandi
8502;91050-350;Jardim Lindóia
8503;91450-157;Jardim Carvalho
8504;91787-778;Hípica
8505;91760-680;Ipanema
8506;91755-320;Aberta dos Morros
8507;91110-400;Sarandi
8508;91120-290;Sarandi
8509;91120-640;Sarandi
8510;91740-800;Vila Nova
8511;91060-170;São Sebastião
8512;91751-210;Ipanema
8513;91787-822;Hípica
8514;91170-430;Santa Rosa de Lima
8515;91180-041;Rubem Berta
8516;91750-740;Vila Nova
8517;91751-370;Cavalhada
8518;91755-054;Hípica
8519;90450-220;Mont Serrat
8520;91280-223;Mário Quintana
8521;91790-470;Restinga
8522;91350-090;Passo da Areia
8523;90690-270;Jardim Botânico
8524;91787-365;Belém Velho
8525;91780-350;Belém Novo
8526;91130-690;Sarandi
8527;91050-350;Jardim Lindóia
8528;91450-157;Jardim Carvalho
8529;91787-778;Hípica
8530;91760-680;Ipanema
8531;91755-320;Aberta dos Morros
8532;91110-400;Sarandi
8533;91120-290;Sarandi
8534;91120-640;Sarandi
8535;91740-800;Vila Nova
8536;91060-170;São Sebastião
8537;91751-210;Ipanema
8538;91787-822;Hípica
8539;91170-430;Santa Rosa de Lima
8540;91180-041;Rubem Berta
8541;91750-740;Vila Nova
8542;91751-370;Cavalhada
8543;91755-054;Hípica
8544;90450-220;Mont Serrat
8545;91280-223;Mário Quintana
8546;91790-470;Restinga
8547;91350-090;Passo da Areia
8548;90690-270;Jardim Botânico
8549;91787-365;Belém Velho
8550;91780-350;Belém Novo
8551;91130-690;Sarandi
8552;91050-350;Jardim Lindóia
8553;91450-157;Jardim Carvalho
8554;91787-778;Hípica
8555;91760-680;Ipanema
8556;91755-320;Aberta dos Morros
8557;91110-400;Sarandi
8558;91120-290;Sarandi
8559;91120-640;Sarandi
8560;91740-800;Vila Nova
8561;91060-170;São Sebastião
8562;91751-210;Ipanema
8563;91787-822;Hípica
8564;91170-430;Santa Rosa de Lima
8565;91180-041;Rubem Berta
8566;91750-740;Vila Nova
8567;91751-370;Cavalhada
8568;91755-054;Hípica
8569;90450-220;Mont Serrat
8570;91280-223;Mário Quintana
8571;91790-470;Restinga
8572;91350-090;Passo da Areia
8573;90690-270;Jardim Botânico
8574;91787-365;Belém Velho
8575;91780-350;Belém Novo
8576;91130-690;Sarandi
8577;91050-350;Jardim Lindóia
8578;91450-157;Jardim Carvalho
8579;91787-778;Hípica
8580;91760-680;Ipanema
8581;91755-320;Aberta dos Morros
8582;91110-400;Sarandi
8583;91120-290;Sarandi
8584;91120-640;Sarandi
8585;91740-800;Vila Nova
8586;91060-170;São Sebastião
8587;91751-210;Ipanema
8588;91787-822;Hípica
8589;91170-430;Santa Rosa de Lima
8590;91180-041;Rubem Berta
8591;91750-740;Vila Nova
8592;91751-370;Cavalhada
8593;91755-054;Hípica
8594;90450-220;Mont Serrat
8595;91280-223;Mário Quintana
8596;91790-470;Restinga
8597;91350-090;Passo da Areia
8598;90690-270;Jardim Botânico
8599;91787-365;Belém Velho
8600;91780-350;Belém Novo
8601;91130-690;Sarandi
8602;91050-350;Jardim Lindóia
8603;91450-157;Jardim Carvalho
8604;91787-778;Hípica
8605;91760-680;Ipanema
8606;91755-320;Aberta dos Morros
8607;91110-400;Sarandi
8608;91120-290;Sarandi
8609;91120-640;Sarandi
8610;91740-800;Vila Nova
8611;91060-170;São Sebastião
8612;91751-210;Ipanema
8613;91787-822;Hípica
